sheet_id,hebrew
1,זונה
2,שרמוטה
3,בת זונה
4,בן זונה
5,כלבה
6,כלב בן זונה
7,כוס
8,זיין
9,זיין אותך
10,דפוק
11,מפגר
12,דביל
13,חרא
14,חרא אדם
15,מסריח
16,חלאה
17,חלאות
18,אפס
19,אפסים
20,מוצץ
21,זין
22,זיין
23,מוצצת
24,בודק
25,בדיקה
26,מניאק
27,נבלה
28,בהמה
29,חמור
30,חרא של בן אדם
31,מגעיל
32,מנוול
33,שפן
34,חזיר
35,חזירה
36,חיה
37,מטומטם
38,טיפש
39,אידיוט
40,חמור גרם
41,קוף
42,גולם
43,רשע
44,סתום
45,שתוק
46,בן מוות
47,רוצח
48,נבלה סרוחה
49,עזוב
50,מסכן
51,כושילאמאשך
52,אוחצ’ה
53,קוקסינל
54,חמור נושא ספרים
55,טמבל
56,נחות
57,מתועב
58,בזוי
59,פרזיט
60,עלוב
61,עכברוש
62,שרץ
63,נחש
64,עקרב
65,זבל
66,אשפה
67,לכלוך
68,טינופת
69,גועל
70,חולירע
71,מחלה
72,מחבל
73,נאצי
74,היטלר
75,חלאות אדם
76,מטונף
77,נמאסת
78,ימח שמך
79,שואה
80,חלאה מהלך
81,בן בליעל
82,בת בליעל
83,שוטה
84,חמור נבער
85,טפיל
86,מנוול מושבע
87,נבזה
88,בן עוולה
89,נבלה מהלכת
90,זוועה
91,חרא של חבר
92,חסר ערך
93,שתוק יא אפס
94,אפס מאופס
95,נחש ארסי
96,קרציה
97,עוקץ
98,יהוה
99,פגר
100,הומו
101,אלוהים
102,החראות
103,החרא
104,החמורים
105,החמורות
106,החמורה
107,החמור
108,הזין
109,הזונות
110,הזונה
111,בן קללה
112,הבת זונה
113,הבני זונות
114,הבנות זונות
115,הבן של זונה
116,הבן זונה
117,האתונה
118,האידיוטים
119,האידיוט
120,האהבל
121,דבילים
122,דבילות
123,דבילה
124,דביל
125,גיפה
126,גבלס
127,ג'יפה
128,בתחת
129,בת זונה
130,בני זונות
131,בנות זונות
132,בן זונה
133,אכזבות
134,אינעל
135,אידיוטים
136,אידיוט
137,אוכל בתחת
138,אהבלים
139,אהבל
